📕 Tab 4: Reflex Logic,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Purpose: Maps mismatch types to emotional reflexes and repair strategies.,,,,,,,,,,,,,,
Mismatch_Type,Reflex_Archetype,Response_Pattern,Emotional_Cost,Repair_Path,Qualifier,Male_Intimacy_Reflex,Female_Intimacy_Reflex,Symbolic_Theme,,,,,,
Emotional absenteeism,Overfunctioning,"Emotional overwork, resentment",Isolation,Emotional labor audit,Red,Emotionally dismissive,Emotionally fearful,“She carries it all”,,,,,,
Erotic routine,Numbness,"Disengagement, compliance",Intimacy erosion,Erotic novelty planning,Green,Physically anxious,Physically dismissive,"“She fades, he repeats”",,,,,,
Abandonment trauma,Collapse,"Hypervigilance, emotional fragility",Grief,Anchoring rituals,Centre,Emotionally dismissive,Emotionally fearful,"“She waits, he disappears”",,,,,,
Emotional avoidance,Flooding,"Overexpression, panic",Insecurity,Emotional literacy training,Red,Emotionally dismissive,Emotionally fearful,"“She floods, he shuts down”",,,,,,
Depth mismatch,Emptiness,"Surface compliance, detachment",Starvation,Depth-building dialogue,Green,Emotionally dismissive,Emotionally fearful,"“She reaches, he floats”",,,,,,
Mental load mismatch,Irritation,"Overplanning, resentment",Cognitive fatigue,Mental load redistribution,Blue,Emotionally dismissive,Emotionally fearful,"“She tracks, he drifts”",,,,,,
Betrayal minimization,Explosion,"Moral rage, rejection",Trust collapse,Full accountability,Red,Emotionally dismissive,Emotionally fearful,"“She breaks, he deflects”",,,,,,
Emotional silence,Withdrawal,"Quiet distancing, emotional freeze",Disconnection,Emotional naming practice,Green,Emotionally dismissive,Emotionally fearful,"“She freezes, he vanishes”",,,,,,
Emotional containment,Freeze,"Numbness, silence",Disconnection,Emotional naming practice,Red,Emotionally dismissive,Emotionally fearful,"“She shuts down, he retreats”",,,,,,
Erotic mismatch,Overfunctioning,"Overinitiating, emotional burnout",Rejection fatigue,Erotic pacing rituals,Green,Physically anxious,Physically dismissive,"“She reaches, he recoils”",,,,,,
Recognition gap,Collapse,"Emotional withdrawal, invisibility",Self-worth erosion,Daily affirmation exchange,Blue,Emotionally dismissive,Emotionally fearful,"“She fades, he forgets”",,,,,,
Mixed signals,Hypervigilance,"Monitoring, emotional scanning",Anxiety,Predictable communication rituals,Yellow,Emotionally dismissive,Emotionally fearful,"“She scans, he drifts”",,,,,,
Depth mismatch,Surface compliance,Emotional detachment,Starvation,Depth-building dialogue,Green,Emotionally dismissive,Emotionally fearful,"“She reaches, he floats”",,,,,,
Moral misalignment,Boundary rupture,Emotional distancing,Value erosion,Ethical boundary mapping,Yellow,Emotionally dismissive,Emotionally fearful,"“She recoils, he deflects”",,,,,,
Planning mismatch,Avoidance,"Passive resistance, delay",Frustration,Shared planning rituals,Centre,Emotionally dismissive,Emotionally fearful,"“She organizes, he resists”",,,,,,
Erotic routine,Numbness,"Compliance, disengagement",Intimacy erosion,Erotic novelty planning,Green,Physically anxious,Physically dismissive,"“She fades, he repeats”",,,,,,
Emotional silence,Withdrawal,Quiet distancing,Loneliness,Emotional check-in ritual,Green,Emotionally dismissive,Emotionally fearful,"“She waits, he disappears”",,,,,,
Labor imbalance,Explosion,Task resentment,Burnout,Task redistribution,Blue,Emotionally dismissive,Emotionally fearful,"“She plans, he assumes”",,,,,,
Social comparison,Surveillance,"Jealousy, monitoring",Insecurity,Visibility and reassurance,Yellow,Emotionally dismissive,Emotionally fearful,"“She watches, he performs”",,,,,,
Emotional neglect,Collapse,Emotional shutdown,Disconnection,Emotional literacy training,Red,Emotionally dismissive,Emotionally fearful,"“She fades, he’s absent”",,,,,,
Dream misalignment,Idealization,Emotional fantasy,Hope fatigue,Shared dream board,Centre,Emotionally dismissive,Emotionally fearful,"“She imagines, he drifts”",,,,,,
Body shame,Retreat,Avoidance of intimacy,Self-loathing,Affirmation and safe touch,Red,Physically anxious,Physically dismissive,“Unworthy of closeness”,,,,,,
Future avoidance,Insecurity,Emotional testing,Fear of abandonment,Joint future sketching,Yellow,Emotionally dismissive,Emotionally fearful,"“She asks, he evades”",,,,,,
Betrayal minimization,Explosion,Moral rage,Trust collapse,Full accountability,Red,Emotionally dismissive,Emotionally fearful,"“She breaks, he deflects”",,,,,,
Emotional mismatch,Tenderness,Gentle persistence,Vulnerability fatigue,Emotional mirroring,Green,Emotionally dismissive,Emotionally fearful,"“She opens, he deflects”",,,,,,
Mental load mismatch,Irritation,Overplanning,Cognitive fatigue,Mental load redistribution,Blue,Emotionally dismissive,Emotionally fearful,"“She tracks, he drifts”",,,,,,
Emotional avoidance,Flooding,"Panic, overexpression",Insecurity,Emotional literacy training,Red,Emotionally dismissive,Emotionally fearful,"“She floods, he shuts down”",,,,,,
Emotional containment,Freeze,"Emotional shutdown, silence",Disconnection,Emotional naming practice,Red,Emotionally dismissive,Emotionally fearful,"“She shuts down, he retreats”",,,,,,
Recognition gap,Collapse,Emotional invisibility,Self-worth erosion,Daily affirmation exchange,Blue,Emotionally dismissive,Emotionally fearful,"“She fades, he forgets”",,,,,,
Mixed signals,Hypervigilance,"Emotional scanning, overanalysis",Anxiety,Predictable communication rituals,Yellow,Emotionally dismissive,Emotionally fearful,"“She scans, he drifts”",,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
