📘 Tab 1: Female Inner Voice,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Purpose: Captures the nuanced emotional landscape of the female perspective.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Voice_ID,Emotion,Suppressed_Need,Relational_Context,Female_Archetype,Male_Archetype,Emotional_Reflex_Trigger,Qualifier,We-ness Experience,Micro-Contexts,Voice Variants,Somatic Expression,Cultural Overlay,Attachment Style Reflection,,,,,,,,
F031,Admiration,Emotional leadership,Crisis moment,Relationally Fulfilled,Good Guy,Calm under pressure,Centre,↑,"Emergency, decision-making",“He held it together”,"Upright posture, steady breath",Western protector ideal,Secure,,,,,,,,
F032,Disgust,Moral misalignment,Political argument,Older Single,Bad Guy,Dismissive values,Yellow,↓,"Debate, ethical disagreement",“How can he think that?”,"Tight jaw, furrowed brow",Cultural polarization,Dismissive-avoidant,,,,,,,,
F033,Hope,Emotional rebirth,Post-divorce healing,Older Single,Good Guy,Gentle encouragement,Green,↑,"New routines, dating again",“Maybe I’m not broken”,"Light chest, soft eyes",Western resilience narrative,Secure,,,,,,,,
F034,Shame,Body acceptance,Intimate moment,Young Single,Nice Guy,Unspoken judgment,Red,↓,"Undressing, silence",“He looked away”,"Tense abdomen, hunched shoulders",Beauty standard pressure,Anxious,,,,,,,,
F035,Excitement,Shared adventure,Travel planning,Relationally Fulfilled,Good Guy,Collaborative energy,Blue,↑,"Booking, itinerary building",“We’re a team”,"Energized limbs, open gestures",Western couple ideal,Secure,,,,,,,,
F036,Sadness,Emotional presence,Grieving loss,Older Single,Nice Guy,Avoidance of emotion,Green,↓,"Funeral, quiet evenings",“He won’t talk about it”,"Heavy chest, watery eyes",Stoic masculinity norms,Preoccupied,,,,,,,,
F037,Frustration,Time equity,Weekend logistics,Relationally Fulfilled,Bad Guy,Passive scheduling,Yellow,↓,"Errands, childcare",“Why do I always initiate?”,"Jaw tension, eye roll",Gendered planning roles,Anxious,,,,,,,,
F038,Desire,Erotic connection,Long-term relationship,Relationally Fulfilled,Good Guy,Mutual initiation,Green,↑,"Bedroom, flirtation",“We still have it”,"Tingling skin, flushed cheeks",Western sensuality norms,Secure,,,,,,,,
F039,Confusion,Emotional clarity,Mixed signals,Young Single,Bad Guy,Hot-cold behavior,Yellow,↓,"Texting, tone shifts",“I can’t read him”,"Furrowed brow, restless fingers",Hookup culture ambiguity,Anxious,,,,,,,,
F040,Relief,Emotional safety,After vulnerability,Relationally Fulfilled,Good Guy,Acceptance without fixing,Centre,↑,"Disclosure, emotional sharing",“He didn’t try to fix me”,"Deep exhale, relaxed shoulders",Emotional literacy movement,Secure,,,,,,,,
F041,Vulnerability,Safe disclosure,Emotional check-in,Young Single,Good Guy,Gentle listening,Green,↑,"Sharing fears, quiet moments",“He didn’t flinch”,"Soft voice, open palms",Western therapy culture,Secure,,,,,,,,
F042,Disappointment,Shared planning,Weekend logistics,Relationally Fulfilled,Nice Guy,Passive indecision,Blue,↓,"Calendar, errands",“I always have to ask”,Slumped shoulders,Invisible labor norms,Preoccupied,,,,,,,,
F043,Anger,Emotional honesty,After betrayal,Older Single,Bad Guy,Deflection and denial,Red,↓↓↓,"Confrontation, gaslighting",“He twisted it”,"Raised voice, clenched fists",Western accountability norms,Fearful-avoidant,,,,,,,,
F044,Excitement,Spontaneity,Surprise date,Young Single,Good Guy,Unexpected gesture,Centre,↑,"Last-minute plan, gift",“He thought of me”,"Sparkling eyes, energized limbs",Romantic spontaneity ideal,Secure,,,,,,,,
F045,Emptiness,Emotional depth,Surface-level intimacy,Relationally Fulfilled,Bad Guy,Lack of verbal connection,Green,↓,"Sex without talk, routine",“I feel alone in bed”,"Hollow chest, distant gaze",Western intimacy expectations,Avoidant,,,,,,,,
F046,Shame,Body confidence,Intimacy,Young Single,Nice Guy,Unspoken discomfort,Red,↓,"Undressing, silence",“He didn’t look at me”,"Tense abdomen, hunched shoulders",Beauty standard pressure,Anxious,,,,,,,,
F047,Hope,Emotional renewal,New beginning,Older Single,Good Guy,Consistent presence,Green,↑,"Morning texts, steady rhythm",“He’s not going anywhere”,"Soft breath, relaxed spine",Western healing narrative,Secure,,,,,,,,
F048,Frustration,Time equity,Household chores,Relationally Fulfilled,Nice Guy,Uneven task load,Blue,↓,"Dishes, laundry",“I’m not his mother”,"Jaw tension, eye roll",Gendered domestic roles,Preoccupied,,,,,,,,
F049,Sadness,Being prioritized,Busy schedule,Relationally Fulfilled,Bad Guy,Ignored emotional cues,Red,↓,"Missed calls, distracted talk",“I’m not on his list”,"Drooped posture, quiet voice",Hustle culture impact,Anxious,,,,,,,,
F050,Joy,Mutual celebration,Shared success,Relationally Fulfilled,Good Guy,Affirmation and pride,Centre,↑,"Toast, shared smile",“We did this together”,"Upright posture, glowing face",Western partnership ideal,,,,,,,,,
F051,Doubt,Clarity of intention,Texting phase,Young Single,Bad Guy,Vague replies,Yellow,↓,"Emoji ambiguity, delayed responses",“Is he serious?”,"Furrowed brow, restless fingers",Digital dating norms,Anxious,,,,,,,,
F052,Admiration,Emotional maturity,Conflict resolution,Relationally Fulfilled,Good Guy,Calm discussion,Green,↑,Post-argument reflection,“He really heard me”,Relaxed shoulders,Western therapy culture,Secure,,,,,,,,
F053,Anxiety,Reassurance,Uncertain future,Young Single,Nice Guy,Avoidance of planning,Red,↓,"Life goals, housing talk",“Does he see me long-term?”,"Racing heart, shallow breath",Western independence norms,Anxious,,,,,,,,
F054,Gratitude,Emotional support,Health crisis,Relationally Fulfilled,Good Guy,Steady caregiving,Green,↑,"Hospital visits, medication reminders",“He showed up”,"Soft gaze, warm chest",Caregiver idealization,Secure,,,,,,,,
F055,Irritation,Mental bandwidth,Daily decisions,Relationally Fulfilled,Nice Guy,Delegated thinking,Blue,↓,"Grocery lists, scheduling",“Why do I have to decide everything?”,"Jaw tension, eye roll",Invisible labor norms,Preoccupied,,,,,,,,
F056,Longing,Shared dreams,Life planning,Older Single,Good Guy,Vision alignment,Centre,↑,"Retirement talk, travel plans",“We could build something”,"Expansive breath, soft gaze",Western reinvention narrative,Secure,,,,,,,,
F057,Confusion,Emotional consistency,Mixed behavior,Young Single,Bad Guy,Hot-cold pattern,Yellow,↓,"Fluctuating tone, ghosting",“I don’t know where I stand”,"Furrowed brow, tight chest",Hookup culture ambiguity,Anxious,,,,,,,,
F058,Relief,Emotional safety,After vulnerability,Relationally Fulfilled,Good Guy,Acceptance without judgment,Green,↑,Post-disclosure moment,“He didn’t flinch”,"Deep exhale, relaxed shoulders",Western emotional literacy,Secure,,,,,,,,
F059,Bitterness,Recognition,Years of sacrifice,Older Single,Nice Guy,Lack of emotional feedback,Blue,↓,"Career support, parenting",“I gave everything”,"Heavy limbs, clenched jaw",Generational gender roles,Preoccupied,,,,,,,,
F060,Desire,Erotic connection,Intimate evening,Relationally Fulfilled,Good Guy,Mutual initiation,Green,↑,"Candlelight, shared touch",“I want to feel wanted”,"Tingling skin, flushed cheeks",Western sensuality norms,Secure,,,,,,,,
F061,Disappointment,Emotional depth,Casual dating,Young Single,Bad Guy,Surface-level conversation,Green,↓,"Text banter, shallow talk",“Is this all there is?”,"Flat tone, distant gaze",Hookup culture fatigue,Avoidant,,,,,,,,
F062,Gratitude,Shared effort,Parenting,Relationally Fulfilled,Good Guy,Co-parenting with empathy,Blue,↑,"School prep, bedtime routines",“We’re in this together”,"Relaxed shoulders, warm chest",Egalitarian parenting norms,Secure,,,,,,,,
F063,Anxiety,Predictability,Early dating,Young Single,Nice Guy,Inconsistent plans,Yellow,↓,"Last-minute changes, vague invites",“Can I trust this?”,"Tight chest, restless limbs",Digital dating culture,Anxious,,,,,,,,
F064,Relief,Emotional safety,After disclosure,Relationally Fulfilled,Good Guy,Nonjudgmental response,Green,↑,"Sharing fears, quiet moments",“He didn’t run”,"Deep breath, soft gaze",Western therapy culture,Secure,,,,,,,,
F065,Frustration,Time equity,Weekend planning,Relationally Fulfilled,Nice Guy,Passive scheduling,Blue,↓,"Errands, childcare",“Why do I always initiate?”,"Jaw tension, eye roll",Gendered planning roles,Preoccupied,,,,,,,,
F066,Sadness,Being chosen,After rejection,Young Single,Bad Guy,Abrupt withdrawal,Centre,↓,"Ghosting, silence",“I wasn’t enough”,"Slumped shoulders, watery eyes",Western breakup norms,Fearful-avoidant,,,,,,,,
F067,Hope,Emotional renewal,New relationship,Older Single,Good Guy,Steady attention,Green,↑,"Morning texts, consistent tone",“He’s not going anywhere”,"Soft breath, relaxed spine",Western healing narrative,Secure,,,,,,,,
F068,Bitterness,Recognition,Years of sacrifice,Older Single,Nice Guy,Lack of feedback,Blue,↓,"Emotional labor, invisible support",“I gave everything”,"Heavy limbs, clenched jaw",Generational gender roles,Preoccupied,,,,,,,,
F069,Joy,Mutual creativity,Shared hobby,Relationally Fulfilled,Good Guy,Collaborative play,Blue,↑,"Painting, cooking together",“We’re in sync”,"Energized limbs, playful tone",Western couple ideal,Secure,,,,,,,,
F070,Shame,Body confidence,Intimacy,Young Single,Nice Guy,Unspoken discomfort,Red,↓,"Undressing, silence",“He didn’t look at me”,"Tense abdomen, hunched shoulders",Beauty standard pressure,,,,,,,,,
F071,Desire,Erotic connection,Long-term relationship,Relationally Fulfilled,Good Guy,Mutual initiation,Green,↑,"Bedroom, flirtation",“We still have it”,"Tingling skin, flushed cheeks",Western sensuality norms,Secure,,,,,,,,
F072,Confusion,Emotional clarity,Mixed signals,Young Single,Bad Guy,Hot-cold behavior,Yellow,↓,"Texting, tone shifts",“I can’t read him”,"Furrowed brow, tight chest",Hookup culture ambiguity,Anxious,,,,,,,,
F073,Admiration,Emotional leadership,Crisis moment,Relationally Fulfilled,Good Guy,Calm presence,Centre,↑,"Emergency, decision-making",“He held it together”,"Upright posture, steady breath",Western protector ideal,Secure,,,,,,,,
F074,Longing,Shared dreams,Life planning,Older Single,Good Guy,Vision alignment,Centre,↑,"Retirement talk, travel plans",“We could build something”,"Expansive breath, soft gaze",Western reinvention narrative,Secure,,,,,,,,
F075,Anger,Emotional betrayal,Discovery of affair,Relationally Fulfilled,Bad Guy,Lies exposed,Red,↓↓↓,"Phone records, confession",“How could he?”,"Shaking hands, clenched fists",Western monogamy norms,Fearful-avoidant,,,,,,,,
F076,Nostalgia,Emotional depth,Old flame reappears,Older Single,Bad Guy,Unresolved memories,Centre,↑↓,"Old photos, familiar scent",“What if…”,"Soft smile, teary eyes",Romantic idealization,Preoccupied,,,,,,,,
F077,Tenderness,Shared vulnerability,Quiet evening,Relationally Fulfilled,Good Guy,Eye contact and silence,Green,↑,"Couch talk, shared silence",“We’re really here”,"Soft eyes, open palms",Western emotional fluency,Secure,,,,,,,,
F078,Guilt,Permission to rest,Overworked mother,Older Single,Nice Guy,Self-neglect praised,Red,↓,"Weekend exhaustion, skipped self-care",“I shouldn’t need a break”,Slumped posture,Maternal martyrdom culture,Anxious,,,,,,,,
F079,Excitement,Spontaneity,Surprise date,Young Single,Good Guy,Unexpected gesture,Centre,↑,"Last-minute plan, gift",“He thought of me”,"Sparkling eyes, energized limbs",Romantic spontaneity ideal,Secure,,,,,,,,
F080,Emptiness,Emotional depth,Surface-level intimacy,Relationally Fulfilled,Bad Guy,Lack of verbal connection,Green,↓,"Sex without talk, routine",“I feel alone in bed”,"Hollow chest, distant gaze",Western intimacy expectations,Avoidant,,,,,,,,
F081,Vulnerability,Emotional safety,First intimacy,Young Single,Good Guy,Gentle presence,Green,↑,"Undressing, eye contact",“He didn’t rush me”,"Soft breath, open palms",Consent culture awareness,Secure,,,,,,,,
F082,Disappointment,Shared responsibility,Parenting,Relationally Fulfilled,Nice Guy,Uneven load,Blue,↓,"School prep, bedtime routines",“I’m doing this alone”,"Slumped shoulders, clenched jaw",Gendered parenting norms,Preoccupied,,,,,,,,
F083,Anxiety,Clarity of future,Engagement phase,Young Single,Good Guy,Avoidance of planning,Red,↓,"Wedding talk, housing",“Is he stalling?”,"Racing heart, shallow breath",Western commitment culture,Anxious,,,,,,,,
F084,Relief,Emotional validation,After breakdown,Older Single,Good Guy,Active listening,Green,↑,"Crying, emotional sharing",“He didn’t fix me—he heard me”,"Deep exhale, soft gaze",Emotional literacy movement,Secure,,,,,,,,
F085,Frustration,Time equity,Weekend logistics,Relationally Fulfilled,Bad Guy,Passive avoidance,Yellow,↓,"Errands, childcare",“Why do I always initiate?”,"Jaw tension, eye roll",Gendered planning roles,Preoccupied,,,,,,,,
F086,Sadness,Being seen,Long-term routine,Relationally Fulfilled,Nice Guy,Emotional invisibility,Centre,↓,"Dinner silence, missed cues",“He doesn’t notice me anymore”,"Drooped posture, quiet voice",Western middle-class norms,Avoidant,,,,,,,,
F087,Hope,Emotional rebirth,New beginning,Older Single,Good Guy,Steady attention,Green,↑,"Morning texts, consistent tone",“He’s not going anywhere”,"Soft breath, relaxed spine",Western healing narrative,Secure,,,,,,,,
F088,Bitterness,Recognition,Years of sacrifice,Older Single,Nice Guy,Lack of feedback,Blue,↓,"Emotional labor, invisible support",“I gave everything”,"Heavy limbs, clenched jaw",Generational gender roles,Preoccupied,,,,,,,,
F089,Joy,Mutual creativity,Shared hobby,Relationally Fulfilled,Good Guy,Collaborative play,Blue,↑,"Painting, cooking together",“We’re in sync”,"Energized limbs, playful tone",Western couple ideal,Secure,,,,,,,,
F090,Shame,Body confidence,Intimacy,Young Single,Nice Guy,Unspoken discomfort,Red,↓,"Undressing, silence",“He didn’t look at me”,"Tense abdomen, hunched shoulders",Beauty standard pressure,Anxious,,,,,,,,
F091,Vulnerability,Emotional safety,First intimacy,Young Single,Good Guy,Gentle presence,Green,↑,"Undressing, eye contact",“He didn’t rush me”,"Soft breath, open palms",Consent culture awareness,Secure,,,,,,,,
F092,Disappointment,Shared responsibility,Parenting,Relationally Fulfilled,Nice Guy,Uneven load,Blue,↓,"School prep, bedtime routines",“I’m doing this alone”,"Slumped shoulders, clenched jaw",Gendered parenting norms,Preoccupied,,,,,,,,
F093,Anxiety,Clarity of future,Engagement phase,Young Single,Good Guy,Avoidance of planning,Red,↓,"Wedding talk, housing",“Is he stalling?”,"Racing heart, shallow breath",Western commitment culture,Anxious,,,,,,,,
F094,Relief,Emotional validation,After breakdown,Older Single,Good Guy,Active listening,Green,↑,"Crying, emotional sharing",“He didn’t fix me—he heard me”,"Deep exhale, soft gaze",Emotional literacy movement,Secure,,,,,,,,
F095,Frustration,Time equity,Weekend logistics,Relationally Fulfilled,Bad Guy,Passive avoidance,Yellow,↓,"Errands, childcare",“Why do I always initiate?”,"Jaw tension, eye roll",Gendered planning roles,Preoccupied,,,,,,,,
F096,Sadness,Being seen,Long-term routine,Relationally Fulfilled,Nice Guy,Emotional invisibility,Centre,↓,"Dinner silence, missed cues",“He doesn’t notice me anymore”,"Drooped posture, quiet voice",Western middle-class norms,Avoidant,,,,,,,,
F097,Hope,Emotional rebirth,New beginning,Older Single,Good Guy,Steady attention,Green,↑,"Morning texts, consistent tone",“He’s not going anywhere”,"Soft breath, relaxed spine",Western healing narrative,Secure,,,,,,,,
F098,Bitterness,Recognition,Years of sacrifice,Older Single,Nice Guy,Lack of feedback,Blue,↓,"Emotional labor, invisible support",“I gave everything”,"Heavy limbs, clenched jaw",Generational gender roles,Preoccupied,,,,,,,,
F099,Joy,Mutual creativity,Shared hobby,Relationally Fulfilled,Good Guy,Collaborative play,Blue,↑,"Painting, cooking together",“We’re in sync”,"Energized limbs, playful tone",Western couple ideal,Secure,,,,,,,,
F100,Shame,Body confidence,Intimacy,Young Single,Nice Guy,Unspoken discomfort,Red,↓,"Undressing, silence",“He didn’t look at me”,"Tense abdomen, hunched shoulders",Beauty standard pressure,,,,,,,,,
F101,Guilt,Anger permission,Conflict avoidance,Relationally Fulfilled,Nice Guy,Emotional suppression,Red,↓,"Argument shutdown, tone policing",“I shouldn’t be mad”,"Tight jaw, lowered gaze",Polite femininity norms,Anxious,,,,,,,,
F102,Pride,Emotional growth,Post-therapy,Older Single,Good Guy,Self-awareness moment,Green,↑,"Journaling, self-reflection",“I’m not who I was”,"Upright posture, steady breath",Healing culture,Secure,,,,,,,,
F103,Shame,Erotic desire,Long-term relationship,Relationally Fulfilled,Nice Guy,Lack of initiation,Red,↓,"Bedroom silence, routine sex",“I want more but feel wrong”,"Tense abdomen, flushed cheeks",Sexual modesty norms,Preoccupied,,,,,,,,
F104,Longing,Emotional depth,Surface-level dating,Young Single,Bad Guy,Avoidant behavior,Green,↓,"Text banter, shallow talk",“I want real connection”,"Hollow chest, distant gaze",Hookup fatigue,Anxious,,,,,,,,
F105,Gratitude,Mutual repair,Post-conflict,Relationally Fulfilled,Good Guy,Apology with empathy,Green,↑,Reconciliation talk,“He really saw me”,"Soft eyes, relaxed shoulders",Emotional fluency culture,Secure,,,,,,,,
F106,Insecurity,Emotional priority,Social setting,Young Single,Bad Guy,Ignored presence,Yellow,↓,"Party, group hangout",“He didn’t notice me”,"Tight chest, darting eyes",Social comparison norms,Anxious,,,,,,,,
F107,Relief,Emotional containment,After panic,Relationally Fulfilled,Good Guy,Calm reassurance,Green,↑,"Anxiety episode, grounding",“He didn’t flinch”,"Deep breath, softened limbs",Mental health awareness,Secure,,,,,,,,
F108,Bitterness,Recognition,Career support,Older Single,Nice Guy,Dismissive tone,Blue,↓,"Promotion, milestone",“He downplayed it”,"Clenched fists, flat tone",Gendered ambition norms,Preoccupied,,,,,,,,
F109,Joy,Emotional play,Shared humor,Relationally Fulfilled,Good Guy,Inside joke moment,Green,↑,"Banter, laughter",“We’re light again”,"Sparkling eyes, relaxed jaw",Couple play culture,Secure,,,,,,,,
F110,Sadness,Being chosen,Post-breakup,Young Single,Bad Guy,Abrupt silence,Centre,↓,"Ghosting, no closure",“I wasn’t enough”,"Slumped shoulders, watery eyes",Western breakup norms,Fearful-avoidant,,,,,,,,
F111,Hope,Emotional rebirth,New dating phase,Older Single,Good Guy,Consistent attention,Green,↑,"Morning texts, steady rhythm",“He’s showing up”,"Soft breath, open chest",Healing narrative,Secure,,,,,,,,
F112,Frustration,Time equity,Daily logistics,Relationally Fulfilled,Nice Guy,Passive planning,Blue,↓,"Errands, calendar",“Why do I always lead?”,"Jaw tension, eye roll",Gendered domestic roles,Preoccupied,,,,,,,,
F113,Desire,Erotic novelty,Long-term relationship,Relationally Fulfilled,Good Guy,Predictable intimacy,Green,↓,Bedroom routine,“I want surprise”,"Tingling skin, restless limbs",Erotic boredom culture,Anxious,,,,,,,,
F114,Shame,Emotional neediness,Early dating,Young Single,Bad Guy,Dismissive reaction,Red,↓,"Vulnerable text, silence",“I’m too much”,"Curled posture, flushed cheeks",Cool girl myth,Anxious,,,,,,,,
F115,Admiration,Emotional leadership,Parenting moment,Relationally Fulfilled,Good Guy,Calm under pressure,Centre,↑,"Child crisis, decision-making",“He handled it”,"Upright posture, steady breath",Father-as-anchor ideal,Secure,,,,,,,,
F116,Anxiety,Emotional stability,Financial stress,Relationally Fulfilled,Nice Guy,Avoidance of money talk,Red,↓,"Budgeting, bills",“I feel alone in this”,"Shallow breath, tight chest",Financial silence norms,Preoccupied,,,,,,,,
F117,Tenderness,Shared vulnerability,Quiet evening,Relationally Fulfilled,Good Guy,Gentle presence,Green,↑,"Couch talk, soft silence",“We’re really here”,"Soft eyes, open palms",Emotional fluency culture,Secure,,,,,,,,
F118,Disappointment,Emotional depth,Surface-level intimacy,Relationally Fulfilled,Bad Guy,Lack of verbal connection,Green,↓,Sex without talk,“I feel alone in bed”,"Hollow chest, distant gaze",Western intimacy expectations,Avoidant,,,,,,,,
F119,Rage,Emotional betrayal,Infidelity discovery,Relationally Fulfilled,Bad Guy,Lies exposed,Red,↓↓↓,"Confrontation, confession",“He destroyed us”,"Shaking hands, clenched fists",Monogamy breach norms,Fearful-avoidant,,,,,,,,
F120,Nostalgia,Emotional depth,Old flame reappears,Older Single,Bad Guy,Familiar tone,Centre,↑↓,Text from past lover,“What if…”,"Soft smile, teary eyes",Romantic idealization,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
